nom,nb_hab_2010,nb_hab_2012,diff2012_2010
Dizy-le-Gros,790,800,10
Beauvois-en-Vermandois,278,300,22
Étrépilly,81,100,19
Artemps,359,400,41
Gricourt,869,900,31
Blesmes,371,400,29
Ville-Savoye,58,100,42
Chevresis-Monceau,356,400,44
Vregny,91,100,9
Nizy-le-Comte,257,300,43
Buzancy,186,200,14
Torcy-en-Valois,83,100,17
Passy-en-Valois,164,200,36
Mont-d'Origny,860,900,40
Vassogne,66,100,34
Viel-Arcy,181,200,19
Mennevret,664,700,36
Guise,5173,5400,227
Champs,293,300,7
Sainte-Preuve,84,100,16
Ribeauville,82,100,18
Tugny-et-Pont,281,300,19
Neuvillette,196,200,4
Saint-Thomas,97,100,3
Marfontaine,84,100,16
Plomion,477,500,23
Puisieux-et-Clanlieu,296,300,4
Crupilly,66,100,34
Dommiers,287,300,13
Étreillers,1199,1200,1
Chouy,395,400,5
Landifay-et-Bertaignemont,292,300,8
Nauroy,691,700,9
Limé,188,200,12
Villers-Saint-Christophe,472,500,28
Chaillevois,188,200,12
Vézilly,181,200,19
Lappion,295,300,5
Grand-Rozoy,293,300,7
Celles-lès-Condé,74,100,26
Courboin,296,300,4
Sorbais,272,300,28
Thenailles,255,300,45
Couvron-et-Aumencourt,1325,1400,75
Gandelu,679,700,21
Le Thuel,170,200,30
Septvaux,191,200,9
Villiers-Saint-Denis,1051,1100,49
Bucilly,195,200,5
Saint-Thibaut,63,100,37
Goudelancourt-lès-Berrieux,63,100,37
Colligis-Crandelain,181,200,19
La Capelle,1853,1900,47
Monthiers,152,200,48
Saint-Pierremont,62,100,38
Celles-sur-Aisne,256,300,44
Fossoy,577,600,23
Chaudardes,88,100,12
Remigny,390,400,10
Château-Thierry,14480,14800,320
Châtillon-lès-Sons,81,100,19
Coyolles,388,400,12
Thenelles,568,600,32
Nogentel,1019,1100,81
La Chapelle-sur-Chézy,281,300,19
Concevreux,259,300,41
Grandrieux,88,100,12
Levergies,587,600,13
Ollezy,166,200,34
Colonfay,71,100,29
Vauxbuin,766,800,34
Révillon,70,100,30
Watigny,369,400,31
Buironfosse,1189,1200,11
Courchamps,89,100,11
Noyant-et-Aconin,476,500,24
Beautor,2642,2700,58
Presles-et-Thierny,383,400,17
Monceau-lès-Leups,473,500,27
Montcornet,1543,1600,57
Autreppes,187,200,13
Moÿ-de-l'Aisne,993,1000,7
Any-Martin-Rieux,476,500,24
Esquéhéries,850,900,50
Trosly-Loire,593,600,7
Harcigny,249,300,51
Brie,59,100,41
Marchais,379,400,21
Vigneux-Hocquet,283,300,17
Braye-en-Thiérache,139,200,61
Retheuil,387,400,13
Fesmy-le-Sart,490,500,10
Pont-Saint-Mard,185,200,15
Montlevon,248,300,52
Montigny-sous-Marle,74,100,26
Bois-lès-Pargny,183,200,17
Lesges,83,100,17
Crécy-sur-Serre,1454,1500,46
Neuville-Saint-Amand,893,900,7
Beaumé,97,100,3
Erlon,292,300,8
Viry-Noureuil,1829,1900,71
Gronard,73,100,27
Crépy,1896,1900,4
Bruyères-et-Montbérault,1576,1600,24
Vauxaillon,490,500,10
Chartèves,368,400,32
Clacy-et-Thierret,346,400,54
Barzy-sur-Marne,386,400,14
Vassens,172,200,28
Essigny-le-Petit,377,400,23
Saint-Quentin,55978,56800,822
Contescourt,66,100,34
Besmé,164,200,36
Couvrelles,189,200,11
Buire,884,900,16
Aulnois-sous-Laon,1292,1300,8
Pargnan,62,100,38
Coucy-le-Château-Auffrique,1076,1100,24
Dallon,377,400,23
Armentières-sur-Ourcq,98,100,2
La Neuville-Bosmont,183,200,17
Montreuil-aux-Lions,1396,1400,4
Meurival,52,100,48
Septmonts,580,600,20
Pleine-Selve,180,200,20
Ancienville,73,100,27
Leschelle,296,300,4
Fieulaine,281,300,19
Fère-en-Tardenois,3270,3300,30
Gouy,591,600,9
Ressons-le-Long,755,800,45
Nouvion-le-Vineux,162,200,38
Versigny,467,500,33
Assis-sur-Serre,275,300,25
Vaux-Andigny,959,1000,41
Fontaine-lès-Vervins,987,1000,13
Luzoir,290,300,10
Erloy,92,100,8
Seboncourt,1079,1100,21
Hannapes,289,300,11
Résigny,175,200,25
Merlieux-et-Fouquerolles,273,300,27
L'Épine-aux-Bois,259,300,41
Andelain,186,200,14
Longueval-Barbonval,485,500,15
Gergny,152,200,48
Bohain-en-Vermandois,5976,6100,124
